timestamp,human_readable_date,value,context
1580506220118,2020-02-01 03:00:20,0.0,b'{}'
1580505620025,2020-02-01 02:50:20,18.3,b'{}'
1580505618950,2020-02-01 02:50:18,18.3,b'{}'
1580505617989,2020-02-01 02:50:17,18.2,b'{}'
1580505617985,2020-02-01 02:50:17,0.0,b'{}'
1580502622753,2020-02-01 02:00:22,18.2,b'{}'
1580502621302,2020-02-01 02:00:21,18.3,b'{}'
1580502620308,2020-02-01 02:00:20,18.2,b'{}'
1580502620294,2020-02-01 02:00:20,0.0,b'{}'
1580500222326,2020-02-01 01:20:22,18.2,b'{}'
1580500219683,2020-02-01 01:20:19,18.2,b'{}'
1580500218507,2020-02-01 01:20:18,18.3,b'{}'
1580500217547,2020-02-01 01:20:17,0.0,b'{}'
1580499723794,2020-02-01 01:12:03,18.2,b'{}'
1580499723001,2020-02-01 01:12:03,18.3,b'{}'
1580499721769,2020-02-01 01:12:01,0.0,b'{}'
1580499721763,2020-02-01 01:12:01,18.2,b'{}'
1580499617780,2020-02-01 01:10:17,18.2,b'{}'
1580499616815,2020-02-01 01:10:16,18.3,b'{}'
1580499615793,2020-02-01 01:10:15,0.0,b'{}'
1580499615773,2020-02-01 01:10:15,18.2,b'{}'
1580497529609,2020-02-01 00:35:29,18.2,b'{}'
1580497528671,2020-02-01 00:35:28,18.3,b'{}'
1580497527637,2020-02-01 00:35:27,0.0,b'{}'
1580497527604,2020-02-01 00:35:27,18.4,b'{}'
1580497428007,2020-02-01 00:33:48,18.2,b'{}'
1580497426978,2020-02-01 00:33:46,18.3,b'{}'
1580497426066,2020-02-01 00:33:46,0.0,b'{}'
1580497426005,2020-02-01 00:33:46,18.4,b'{}'
1580497323312,2020-02-01 00:32:03,18.2,b'{}'
1580497322406,2020-02-01 00:32:02,18.3,b'{}'
1580497321380,2020-02-01 00:32:01,0.0,b'{}'
1580497321313,2020-02-01 00:32:01,18.4,b'{}'
1580497217458,2020-02-01 00:30:17,18.2,b'{}'
1580497216475,2020-02-01 00:30:16,18.3,b'{}'
1580497215489,2020-02-01 00:30:15,18.4,b'{}'
1580497215485,2020-02-01 00:30:15,0.0,b'{}'
1580496336693,2020-02-01 00:15:36,18.3,b'{}'
1580496335735,2020-02-01 00:15:35,18.3,b'{}'
1580496334730,2020-02-01 00:15:34,18.4,b'{}'
1580496334683,2020-02-01 00:15:34,0.0,b'{}'
1580496232209,2020-02-01 00:13:52,18.3,b'{}'
1580496230219,2020-02-01 00:13:50,0.0,b'{}'
1580496230213,2020-02-01 00:13:50,18.4,b'{}'
1580496126465,2020-02-01 00:12:06,18.3,b'{}'
1580496124527,2020-02-01 00:12:04,0.0,b'{}'
1580496124481,2020-02-01 00:12:04,18.4,b'{}'
1580496018215,2020-02-01 00:10:18,18.3,b'{}'
1580496016184,2020-02-01 00:10:16,0.0,b'{}'
1580496016178,2020-02-01 00:10:16,18.4,b'{}'
1580494227909,2020-01-31 23:40:27,18.4,b'{}'
1580494225822,2020-01-31 23:40:25,18.4,b'{}'
1580494225808,2020-01-31 23:40:25,0.0,b'{}'
1580493012780,2020-01-31 23:20:12,18.4,b'{}'
1580493010763,2020-01-31 23:20:10,18.4,b'{}'
1580493010706,2020-01-31 23:20:10,0.0,b'{}'
1580491211063,2020-01-31 22:50:11,18.4,b'{}'
1580491208811,2020-01-31 22:50:08,0.0,b'{}'
1580491208802,2020-01-31 22:50:08,18.0,b'{}'
1580490025827,2020-01-31 22:30:25,18.3,b'{}'
1580490023009,2020-01-31 22:30:23,0.0,b'{}'
1580490022939,2020-01-31 22:30:22,18.0,b'{}'
1580489419942,2020-01-31 22:20:19,18.2,b'{}'
1580489417930,2020-01-31 22:20:17,0.0,b'{}'
1580489417919,2020-01-31 22:20:17,18.0,b'{}'
1580489058313,2020-01-31 22:14:18,18.3,b'{}'
1580489056007,2020-01-31 22:14:16,18.0,b'{}'
1580489055959,2020-01-31 22:14:15,0.0,b'{}'
1580488965117,2020-01-31 22:12:45,18.4,b'{}'
1580488963123,2020-01-31 22:12:43,18.0,b'{}'
1580488963113,2020-01-31 22:12:43,0.0,b'{}'
1580488814016,2020-01-31 22:10:14,18.2,b'{}'
1580488812032,2020-01-31 22:10:12,18.0,b'{}'
1580488811990,2020-01-31 22:10:11,0.0,b'{}'
1580488316535,2020-01-31 22:01:56,18.1,b'{}'
1580488314537,2020-01-31 22:01:54,18.0,b'{}'
1580488314415,2020-01-31 22:01:54,0.0,b'{}'
1580488204840,2020-01-31 22:00:04,18.1,b'{}'
1580488202825,2020-01-31 22:00:02,18.0,b'{}'
1580488202809,2020-01-31 22:00:02,0.0,b'{}'
1580488110144,2020-01-31 21:58:30,18.1,b'{}'
1580488108197,2020-01-31 21:58:28,0.0,b'{}'
1580487993707,2020-01-31 21:56:33,18.1,b'{}'
1580487991508,2020-01-31 21:56:31,0.0,b'{}'
1580487991483,2020-01-31 21:56:31,-2.5727052089511287e+38,b'{}'
1580487617693,2020-01-31 21:50:17,17.6,b'{}'
1580487615713,2020-01-31 21:50:15,-2.5727052089511287e+38,b'{}'
1580487615697,2020-01-31 21:50:15,0.0,b'{}'
1580487313641,2020-01-31 21:45:13,17.6,b'{}'
1580487301557,2020-01-31 21:45:01,0.0,b'{}'
1580487301510,2020-01-31 21:45:01,-2.5727052089511287e+38,b'{}'
1580487175314,2020-01-31 21:42:55,17.5,b'{}'
1580487173379,2020-01-31 21:42:53,0.0,b'{}'
1580487173374,2020-01-31 21:42:53,-2.5727052089511287e+38,b'{}'
1580486998956,2020-01-31 21:39:58,17.4,b'{}'
1580486996998,2020-01-31 21:39:56,-2.5727052089511287e+38,b'{}'
1580486996963,2020-01-31 21:39:56,0.0,b'{}'
1580486900556,2020-01-31 21:38:20,17.3,b'{}'
1580486898577,2020-01-31 21:38:18,0.0,b'{}'
1580486898535,2020-01-31 21:38:18,-2.5727052089511287e+38,b'{}'
1580448944833,2020-01-31 11:05:44,17.9,b'{}'
